Column,Type,Unit,Allowed/Range,Description
ENERGY,float,GeV,30 to 300000,Reconstructed photon energy from detector response
RA,float,degrees,0 to 360,Right Ascension in J2000 equatorial coordinates
DEC,float,degrees,-90 to 90,Declination in J2000 equatorial coordinates
L,float,degrees,0 to 360,Galactic longitude
B,float,degrees,-90 to 90,Galactic latitude
THETA,float,degrees,≥0,Off-axis angle from pointing direction
PHI,float,degrees,0 to 360,Azimuthal angle around pointing direction
ZENITH_ANGLE,float,degrees,0 to 180,Zenith angle of observation (0 = overhead)
EARTH_AZIMUTH_ANGLE,float,degrees,0 to 360,Azimuthal angle relative to Earth
TIME,float,seconds,≥0,Event time in Mission Elapsed Time (MET) format
EVENT_ID,int,n/a,≥0,Unique identifier for each event within simulation
RUN_ID,int,n/a,≥0,Identifier for the simulation run
RECON_VERSION,int,n/a,≥0,Version number of reconstruction algorithm used
CONVERSION_TYPE,int,n/a,"{0, 1}","Photon conversion mechanism (0=front, 1=back)"
LIVETIME,float,seconds,>0,Effective observation time accounting for dead time
MC_SRC_ID,int,n/a,≥0,Monte Carlo source identifier
MCENERGY,float,GeV,>0,True photon energy from Monte Carlo simulation
CONT_ANG,float,degrees,≥0,Angular separation between reconstructed and true position
WEIGHT,float,n/a,>0,Statistical weight for combining events in analysis
GTI,int,n/a,"{0, 1}","Good Time Interval flag (1=usable, 0=excluded)"
probability,int,n/a,"{0, 1}","Event quality flag (1=high quality, 0=low quality)"
GRB,string,n/a,Format: GRB_Simulated_*,Source identifier matching filename
